time[s]	  500 Hz 	 2000 Hz
0	1.76E+02	3.48E+04
0.001	6.04E+03	1.18E+04
0.002	4.20E+04	1.20E+05
0.003	1.13E+05	6.97E+04
0.004	2.60E+05	4.53E+04
0.005	6.96E+05	3.95E+04
0.006	9.28E+05	5.02E+04
0.007	5.64E+05	1.19E+05
0.008	1.93E+05	5.77E+04
0.009	1.06E+05	1.39E+05
0.01	1.80E+05	1.81E+04
0.011	2.36E+05	1.99E+05
0.012	7.96E+04	3.76E+04
0.013	3.72E+04	1.14E+05
0.014	1.19E+05	1.10E+05
0.015	2.43E+05	2.17E+05
0.016	7.32E+05	7.38E+04
0.017	8.86E+05	1.53E+05
0.018	4.66E+05	3.10E+04
0.019	1.67E+05	1.31E+05
0.02	5.97E+04	8.85E+04
0.021	7.92E+03	8.65E+04
0.022	2.77E+04	2.39E+04
0.023	1.13E+05	7.26E+04
0.024	1.53E+05	1.08E+05
0.025	1.98E+05	8.84E+03
0.026	3.54E+05	3.23E+04
0.027	2.43E+05	5.43E+04
0.028	1.39E+04	6.63E+04
0.029	3.18E+05	1.05E+05
0.03	6.37E+05	2.46E+04
0.031	4.22E+05	5.01E+04
0.032	1.12E+05	4.37E+04
0.033	4.84E+04	4.41E+04
0.034	7.50E+04	1.13E+05
0.035	2.48E+04	5.23E+04
0.036	1.92E+04	7.18E+04
0.037	1.51E+05	5.48E+04
0.038	2.89E+05	1.66E+05
0.039	2.78E+05	5.66E+04
0.04	1.51E+05	2.60E+04
0.041	4.22E+04	3.20E+04
0.042	1.48E+05	9.06E+04
0.043	4.84E+05	8.18E+04
0.044	5.70E+05	2.57E+05
0.045	3.11E+05	6.74E+04
0.046	9.60E+04	1.17E+05
0.047	1.28E+05	9.54E+04
0.048	2.10E+05	9.67E+04
0.049	5.08E+04	4.91E+04
0.05	1.31E+05	2.71E+04
0.051	3.62E+05	1.51E+04
0.052	1.62E+05	3.30E+04
0.053	1.36E+04	7.20E+04
0.054	2.47E+04	1.84E+04
0.055	7.48E+03	2.55E+04
0.056	9.85E+04	2.27E+04
